"","logFC","AveExpr","t","P.Value","adj.P.Val","B","ensembl_gene_id","hgnc_symbol","uniprotswissprot"
"3675",2.41766106207217,-6.08004966917435,19.2335062340154,1.36206824117757e-78,2.8781994388941e-78,168.140108404638,"ENSG00000264345",NA,NA
"3676",1.73266835347296,-6.08624034895657,12.4686061011589,5.68222542455541e-35,8.75212329654917e-35,68.3551873988536,"ENSG00000271762",NA,NA
"3677",6.57699963639568,-6.09647532534705,53.8290129062793,0,0,1056.23957837457,"ENSG00000243777",NA,NA
"3678",3.8573973417092,-6.10076099351138,30.3145626122269,3.45007216336686e-180,1.35224143321019e-179,401.25475884197,"ENSG00000254132",NA,NA
"3679",4.26915956169405,-6.10121832906998,34.9125835387847,1.35746120014563e-230,7.12185221204955e-230,517.011884372796,"ENSG00000167914","GSDMA","Q96QA5"
"3680",2.13429277428163,-6.11048790995135,14.0016562214882,1.99984812035326e-43,3.28865214473787e-43,87.6464465713315,"ENSG00000152254","G6PC2","Q9NQR9"
"3681",2.08780280718274,-6.12943435618963,17.3744310156375,5.06265218696819e-65,9.75730734833413e-65,137.06300851623,"ENSG00000271522",NA,NA
"3682",3.9933800612091,-6.13366118430127,34.2679142865767,2.6735739823279e-223,1.34343743467761e-222,500.230874876082,"ENSG00000261754",NA,NA
"3683",1.61335305525382,-6.13534004163184,12.822459903248,7.61210143987706e-37,1.18870027434685e-36,72.6350310840821,"ENSG00000260593",NA,NA
"3684",2.6079449716474,-6.14460977497864,18.9199164452063,3.18075775480328e-76,6.61280149541842e-76,162.712792936662,"ENSG00000249958",NA,NA
"3685",8.24008486773677,-6.15813277841108,50.8458170958179,0,0,967.344061739544,"ENSG00000232037",NA,NA
"3686",3.18462819335474,-6.16153010752471,18.5663952182679,1.36238047676852e-73,2.78273669943867e-73,156.671749818608,"ENSG00000157330","CFAP107","Q8N1D5"
"3687",5.51061316170068,-6.16242994560098,63.7576402096846,0,0,1354.43215830976,"ENSG00000213361",NA,NA
"3688",4.29509053029173,-6.19450210036673,33.9019708241991,3.44229401155592e-219,1.68097693131267e-218,490.804937863622,"ENSG00000279965",NA,NA
"3689",4.58657706890268,-6.20000675679264,44.7458245087684,0,0,788.508979418304,"ENSG00000283907",NA,NA
"3690",2.95596126946224,-6.2214562715077,22.0894537888303,1.42560386894604e-101,3.49602891145292e-101,220.818887999414,"ENSG00000225101",NA,NA
"3691",1.63923113864282,-6.22782803919142,9.59318101896566,1.53243971799684e-21,2.10309749959107e-21,37.7743241070175,"ENSG00000229108",NA,NA
"3692",1.94975641826043,-6.23151039803846,12.8161771203711,8.22570365634651e-37,1.28409147143244e-36,72.5581466957749,"ENSG00000117090","SLAMF1","Q13291"
"3693",3.57678585501133,-6.24468635058734,25.4630212992654,9.24229367998506e-132,2.7441510440975e-131,290.073014418606,"ENSG00000148735","PLEKHS1","Q5SXH7"
"3694",3.0197653614251,-6.24525667258456,22.6565694827953,1.99667099625729e-106,5.0545009830426e-106,231.949655289427,"ENSG00000255833","TIFAB","Q6ZNK6"
"3695",1.92007624850996,-6.24630546033722,13.8511186336568,1.47848433461816e-42,2.41446793251967e-42,85.680659485109,"ENSG00000129988","LBP","P18428"
"3696",5.68021870217701,-6.24838732201409,61.6628313870435,0,0,1291.41909403252,"ENSG00000244722",NA,NA
"3697",3.39368358567992,-6.25153746580654,22.4261293322836,1.9218845796012e-104,4.79855923089296e-104,227.401308688788,"ENSG00000227579",NA,NA
"3698",1.554326459729,-6.2609042484134,10.8600961856226,4.62276691286028e-27,6.67091541505827e-27,50.3432349739691,"ENSG00000261889",NA,NA
"3699",3.23029281928467,-6.26318018997336,24.1218663087584,2.18183630765697e-119,6.02693376121005e-119,261.680781991831,"ENSG00000130675","MNX1","P50219"
"3700",1.90987673181762,-6.2656649980788,12.7812403804663,1.26509258765924e-36,1.97292611879388e-36,72.1283452450301,"ENSG00000229559",NA,NA
